Tree ID,Species Name,DBH,Structural Value,Carbon Storage,,"Gross Carbon
Sequestration",,Avoided Runoff,,Carbon Avoided,,Pollution Removal,,"Energy
Savings","Total Annual
Benefits",xCoordinate,yCoordinate,Comments
,,(in),($),(lb),($),(lb/yr),($/yr),(ft³/yr),($/yr),(lb/yr),($/yr),(oz/yr),($/yr),($/yr),($/yr),,,
4841,American basswood,9.90,1005.10,177.40,11.51,6.70,0.43,17.80,1.19,N/A,N/A,8.20,0.90,N/A,2.53,42.77,-86.09,
4842,American basswood,9.10,888.26,145.40,9.43,6.00,0.39,15.40,1.03,N/A,N/A,7.10,0.78,N/A,2.20,42.77,-86.09,
4843,Sweetgum,22.50,5900.75,1370.70,88.91,18.70,1.21,35.40,2.37,N/A,N/A,16.30,1.80,N/A,5.38,42.79,-86.12,
4844,Sweetgum,39.70,16744.48,3697.60,239.84,30.80,2.00,74.40,4.97,N/A,N/A,34.20,3.79,N/A,10.76,42.79,-86.12,
4845,Sweetgum,6.40,472.73,89.60,5.81,4.10,0.27,6.30,0.42,N/A,N/A,2.90,0.32,N/A,1.01,42.78,-86.12,
4846,Sweetgum,13.80,2259.25,510.80,33.13,11.00,0.72,24.10,1.61,N/A,N/A,11.10,1.23,N/A,3.56,42.78,-86.11,
4847,Sweetgum,22.10,5695.04,1326.90,86.07,18.40,1.19,34.50,2.31,N/A,N/A,15.90,1.76,N/A,5.25,42.78,-86.11,
4848,Sweetgum,19.80,4583.83,1079.50,70.02,16.50,1.07,29.10,1.94,N/A,N/A,13.40,1.48,N/A,4.50,42.78,-86.11,
4849,Sweetgum,17.10,3435.03,804.90,52.21,14.20,0.92,23.50,1.57,N/A,N/A,10.80,1.20,N/A,3.68,42.78,-86.10,
4850,Sweetgum,14.30,2421.26,552.50,35.84,11.50,0.75,25.50,1.70,N/A,N/A,11.70,1.30,N/A,3.75,42.78,-86.10,
4851,American sycamore,28.50,7473.40,3595.80,233.24,47.50,3.08,75.00,5.02,N/A,N/A,34.50,3.82,N/A,11.92,42.78,-86.10,
4852,American sycamore,14.50,2074.49,698.20,45.29,18.10,1.17,41.10,2.75,N/A,N/A,18.90,2.09,N/A,6.01,42.78,-86.11,
4853,American sycamore,15.30,2288.30,795.10,51.58,19.50,1.27,36.30,2.42,N/A,N/A,16.70,1.85,N/A,5.53,42.78,-86.11,
4854,American sycamore,13.50,1823.38,587.20,38.09,16.30,1.06,38.30,2.56,N/A,N/A,17.60,1.95,N/A,5.57,42.79,-86.05,
4855,American sycamore,18.30,3192.30,1227.00,79.59,25.20,1.63,44.50,2.97,N/A,N/A,20.40,2.26,N/A,6.87,42.79,-86.05,
4856,American sycamore,23.10,4974.48,2159.10,140.05,35.20,2.28,59.10,3.95,N/A,N/A,27.20,3.00,N/A,9.23,42.79,-86.05,
4857,American sycamore,20.20,3848.33,1559.00,101.13,29.00,1.88,49.90,3.34,N/A,N/A,23.00,2.54,N/A,7.76,42.79,-86.05,
4858,American sycamore,23.80,5268.91,2321.20,150.56,36.70,2.38,61.10,4.09,N/A,N/A,28.10,3.11,N/A,9.58,42.79,-86.05,
4859,American sycamore,16.00,2484.79,886.00,57.47,20.80,1.35,38.10,2.55,N/A,N/A,17.50,1.94,N/A,5.84,42.79,-86.05,
4860,American sycamore,19.50,3599.10,1431.40,92.84,27.60,1.79,47.80,3.20,N/A,N/A,22.00,2.43,N/A,7.42,42.79,-86.06,
4861,American sycamore,23.60,5183.89,2274.10,147.50,36.30,2.35,60.50,4.05,N/A,N/A,27.80,3.08,N/A,9.48,42.79,-86.06,
4862,American sycamore,18.20,3159.57,1210.80,78.54,25.00,1.62,44.20,2.96,N/A,N/A,20.30,2.25,N/A,6.83,42.79,-86.06,
4863,American sycamore,23.00,4933.13,2136.20,138.56,34.90,2.27,58.80,3.93,N/A,N/A,27.00,2.99,N/A,9.18,42.79,-86.06,
4864,American sycamore,18.70,3325.03,1293.10,83.88,26.00,1.69,45.70,3.06,N/A,N/A,21.00,2.33,N/A,7.07,42.79,-86.06,
4865,American sycamore,16.20,2542.55,913.10,59.23,21.20,1.37,38.80,2.60,N/A,N/A,17.90,1.98,N/A,5.94,42.79,-86.06,
4866,American sycamore,25.70,6112.37,2797.00,181.43,41.00,2.66,66.70,4.46,N/A,N/A,30.70,3.39,N/A,10.50,42.79,-86.06,
4867,American sycamore,23.40,5099.59,2227.50,144.49,35.80,2.32,59.90,4.01,N/A,N/A,27.60,3.05,N/A,9.38,42.79,-86.06,
4868,American sycamore,20.70,4031.73,1654.50,107.32,30.00,1.95,52.20,3.49,N/A,N/A,24.00,2.66,N/A,8.09,42.79,-86.06,
4869,American sycamore,8.60,853.73,197.90,12.84,8.60,0.56,21.00,1.40,N/A,N/A,9.60,1.07,N/A,3.03,42.79,-86.06,
4870,American sycamore,16.30,2571.70,926.90,60.12,21.40,1.38,39.10,2.61,N/A,N/A,18.00,1.99,N/A,5.98,42.79,-86.05,
4871,American sycamore,22.10,4569.11,1939.10,125.78,33.00,2.14,56.10,3.75,N/A,N/A,25.80,2.86,N/A,8.75,42.79,-86.05,
4872,American sycamore,21.50,4334.50,1813.60,117.64,31.70,2.06,54.40,3.64,N/A,N/A,25.00,2.77,N/A,8.47,42.79,-86.05,
4873,American sycamore,18.40,3225.21,1243.30,80.64,25.40,1.65,44.70,2.99,N/A,N/A,20.60,2.28,N/A,6.91,42.79,-86.05,
4874,American sycamore,21.10,4181.68,1733.10,112.41,30.90,2.00,53.30,3.56,N/A,N/A,24.50,2.71,N/A,8.28,42.79,-86.05,
4875,American sycamore,22.60,4769.55,2047.30,132.80,34.10,2.21,57.60,3.85,N/A,N/A,26.50,2.93,N/A,8.99,42.79,-86.05,
4876,American sycamore,19.80,3704.84,1485.30,96.34,28.20,1.83,48.60,3.25,N/A,N/A,22.40,2.47,N/A,7.55,42.79,-86.05,
4877,American sycamore,20.00,3776.23,1521.90,98.72,28.60,1.86,49.40,3.30,N/A,N/A,22.70,2.51,N/A,7.67,42.79,-86.05,
4878,American sycamore,10.00,1085.74,284.20,18.43,10.70,0.69,26.20,1.75,N/A,N/A,12.00,1.33,N/A,3.77,42.79,-86.05,
4879,American sycamore,17.90,3062.44,1162.90,75.43,24.40,1.58,43.50,2.90,N/A,N/A,20.00,2.21,N/A,6.70,42.79,-86.05,
